text,zone,created_at
"La gente bloqueando otra vez, qué novedad",Sopocachi,2025-12-15T19:09:25Z
"La gente peleando por política y yo solo quiero dormir",Miraflores,2025-12-14T16:09:03Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Centro,2025-12-16T11:58:53Z
"La gente peleando por política y yo solo quiero dormir",Achumani,2025-12-13T00:00:16Z
"LIBRE perdió, la esperanza también un poco",Zona Sur,2025-12-13T21:35:45Z
"La calle está tensa, se siente en el aire",Mallasa,2025-12-19T16:47:09Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Achumani,2025-12-11T14:04:33Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",Zona Sur,2025-12-14T18:45:12Z
"Solo quiero que pase el 24 para volver a la calma. Demasiada gente en la calle.",Miraflores,2025-12-15T12:12:35Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",El Alto (Ceja),2025-12-17T16:24:13Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Zona Sur,2025-12-21T16:13:34Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",El Alto (Ceja),2025-12-22T23:33:26Z
"La calle está tensa, se siente en el aire",Villa Fátima,2025-12-24T21:19:24Z
"Dos horas en la fila para comprar el panetón de la panadería famosa. ¿Vale la pena?",Mallasa,2025-12-12T20:40:43Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Centro,2025-12-20T15:29:52Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",San Miguel,2025-12-21T02:35:18Z
"La lluvia de la tarde arruinó mi paseo por la Illampu. ¡Caos total!",Sopocachi,2025-12-11T07:39:01Z
"Yo confiaba en LIBRE, ahora todo me da miedo",Obrajes,2025-12-17T08:17:54Z
"Ansiedad, incertidumbre y PDC… combinación peligrosa",El Alto (Ceja),2025-12-13T06:10:47Z
"Yo solo quiero que no haya violencia en las calles",Zona Sur,2025-12-11T09:58:38Z
"Yo solo quiero que no haya violencia en las calles",Achumani,2025-12-24T20:01:47Z
"Ansiedad, incertidumbre y PDC… combinación peligrosa",Calacoto,2025-12-17T03:51:23Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Sopocachi,2025-12-23T03:18:05Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Achumani,2025-12-19T07:55:22Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Miraflores,2025-12-12T15:25:46Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Villa Fátima,2025-12-16T05:56:47Z
"Los precios del panetón están por las nubes, ¡es especulación pura!",Achumani,2025-12-13T14:04:27Z
"Ansiedad, incertidumbre y PDC… combinación peligrosa",Mallasa,2025-12-25T07:18:22Z
"Ganó PDC y mi mamá ya está comprando víveres como si fuera guerra",Zona Sur,2025-12-13T03:06:03Z
"Yo confiaba en LIBRE, ahora todo me da miedo",Calacoto,2025-12-24T01:35:50Z
"La gente peleando por política y yo solo quiero dormir",Sopocachi,2025-12-23T05:09:32Z
"Ganó PDC y mi mamá ya está comprando víveres como si fuera guerra",Obrajes,2025-12-14T04:37:27Z
"No puedo dejar de pensar en lo que se viene",Obrajes,2025-12-14T19:25:13Z
"La gente peleando por política y yo solo quiero dormir",El Alto (Ceja),2025-12-23T23:48:25Z
"Tengo miedo de que vengan días peores",Obrajes,2025-12-25T10:03:28Z
"La gente bloqueando otra vez, qué novedad",Calacoto,2025-12-18T21:06:05Z
"PDC ganó, sí, pero ¿a qué costo emocional?",El Alto (Ceja),2025-12-14T14:25:24Z
"No dormí anoche, me preocupa el país con PDC",Achumani,2025-12-14T06:14:05Z
"Ansiedad, incertidumbre y PDC… combinación peligrosa",Villa Fátima,2025-12-25T02:22:42Z
"La calle está tensa, se siente en el aire",Obrajes,2025-12-22T01:18:17Z
"No puedo dejar de pensar en lo que se viene",Sopocachi,2025-12-14T02:17:00Z
"La gente bloqueando otra vez, qué novedad",Mallasa,2025-12-18T11:50:50Z
"La gente bloqueando otra vez, qué novedad",Obrajes,2025-12-13T03:10:59Z
"LIBRE perdió, la esperanza también un poco",Achumani,2025-12-19T17:24:22Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",San Miguel,2025-12-20T16:53:02Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",Villa Fátima,2025-12-16T20:30:38Z
"Yo confiaba en LIBRE, ahora todo me da miedo",Villa Fátima,2025-12-18T22:47:16Z
"Me preocupa no tener estabilidad laboral con este gobierno nuevo",Zona Sur,2025-12-14T17:11:14Z
"No dormí anoche, me preocupa el país con PDC",El Alto (Ceja),2025-12-21T07:21:24Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Mallasa,2025-12-17T18:14:52Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",Obrajes,2025-12-19T03:41:30Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",San Pedro,2025-12-21T17:53:27Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Villa Fátima,2025-12-12T06:20:33Z
"Qué cansancio mental, solo veo discusiones y odio",Obrajes,2025-12-21T05:53:35Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",El Alto (Ceja),2025-12-22T10:10:56Z
"Ansiedad, incertidumbre y PDC… combinación peligrosa",Centro,2025-12-13T02:50:30Z
"Yo solo quiero que no haya violencia en las calles",Sopocachi,2025-12-19T23:37:03Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",Villa Fátima,2025-12-12T21:50:39Z
"Ganó PDC y mi mamá ya está comprando víveres como si fuera guerra",San Pedro,2025-12-19T18:34:45Z
"No puedo dejar de pensar en lo que se viene",Mallasa,2025-12-10T17:59:54Z
"¿Alguien más siente vacío después de las elecciones o solo yo?",Achumani,2025-12-19T08:29:57Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",San Miguel,2025-12-17T17:59:03Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",Miraflores,2025-12-19T05:31:09Z
"No he terminado de envolver ni un regalo. ¡El estrés navideño me está matando!",Centro,2025-12-20T23:59:39Z
"La calle está tensa, se siente en el aire",Zona Sur,2025-12-22T11:01:20Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",San Miguel,2025-12-14T00:21:26Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",Sopocachi,2025-12-23T18:59:02Z
"¿Alguien más siente vacío después de las elecciones o solo yo?",Miraflores,2025-12-10T10:32:20Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Obrajes,2025-12-12T00:35:29Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Miraflores,2025-12-20T01:23:38Z
"Dos horas en la fila para comprar el panetón de la panadería famosa. ¿Vale la pena?",Zona Sur,2025-12-12T05:03:56Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",San Miguel,2025-12-24T09:16:29Z
"Tengo miedo de que vengan días peores",San Pedro,2025-12-21T20:23:37Z
"La calle está tensa, se siente en el aire",Obrajes,2025-12-18T03:44:03Z
"La gente bloqueando otra vez, qué novedad",El Alto (Ceja),2025-12-21T15:21:03Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",Achumani,2025-12-19T07:12:40Z
"Solo quiero que pase el 24 para volver a la calma. Demasiada gente en la calle.",Miraflores,2025-12-16T23:15:23Z
"La gente peleando por política y yo solo quiero dormir",Mallasa,2025-12-25T05:16:13Z
"Yo solo quiero que no haya violencia en las calles",Calacoto,2025-12-15T20:33:37Z
"No dormí anoche, me preocupa el país con PDC",Sopocachi,2025-12-12T12:37:24Z
"Los precios del panetón están por las nubes, ¡es especulación pura!",El Alto (Ceja),2025-12-13T03:51:23Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Sopocachi,2025-12-13T11:18:06Z
"Tengo miedo de que vengan días peores",Calacoto,2025-12-11T01:00:31Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",Achumani,2025-12-14T01:33:41Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",San Miguel,2025-12-17T10:44:00Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",Achumani,2025-12-11T01:04:20Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",El Alto (Ceja),2025-12-17T06:04:50Z
"La gente peleando por política y yo solo quiero dormir",Miraflores,2025-12-13T03:16:19Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",Zona Sur,2025-12-11T07:11:51Z
"La gente bloqueando otra vez, qué novedad",Sopocachi,2025-12-13T23:59:03Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",Mallasa,2025-12-24T05:32:31Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",Calacoto,2025-12-19T14:18:27Z
"Solo quiero que pase el 24 para volver a la calma. Demasiada gente en la calle.",Calacoto,2025-12-18T19:42:55Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",Obrajes,2025-12-13T09:34:31Z
"La gente bloqueando otra vez, qué novedad",Villa Fátima,2025-12-15T10:15:13Z
"Qué cansancio mental, solo veo discusiones y odio",Obrajes,2025-12-20T19:59:53Z
"Qué caos, qué ansiedad, qué país",San Miguel,2025-12-13T18:47:12Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",El Alto (Ceja),2025-12-25T15:47:25Z
"Me preocupa no tener estabilidad laboral con este gobierno nuevo",San Miguel,2025-12-24T01:33:55Z
"El pavo está incomprable, creo que haremos pollo a la broaster nomás.",Zona Sur,2025-12-21T04:04:48Z
"LIBRE perdió, la esperanza también un poco",Achumani,2025-12-24T03:42:34Z
"Ganó PDC y mi mamá ya está comprando víveres como si fuera guerra",El Alto (Ceja),2025-12-25T00:03:28Z
"No he terminado de envolver ni un regalo. ¡El estrés navideño me está matando!",Calacoto,2025-12-18T14:25:55Z
"LIBRE perdió, la esperanza también un poco",Calacoto,2025-12-18T03:04:01Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",San Pedro,2025-12-22T13:27:46Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",Mallasa,2025-12-16T12:05:10Z
"La gente peleando por política y yo solo quiero dormir",Mallasa,2025-12-10T17:40:22Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",Miraflores,2025-12-21T01:56:47Z
"Dos horas en la fila para comprar el panetón de la panadería famosa. ¿Vale la pena?",Achumani,2025-12-25T15:44:48Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",El Alto (Ceja),2025-12-21T17:09:17Z
"Yo confiaba en LIBRE, ahora todo me da miedo",Centro,2025-12-11T13:40:36Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",El Alto (Ceja),2025-12-21T13:38:11Z
"Solo quiero que pase el 24 para volver a la calma. Demasiada gente en la calle.",Zona Sur,2025-12-17T12:50:47Z
"Yo solo quiero que no haya violencia en las calles",Sopocachi,2025-12-22T00:31:16Z
"Dos horas en la fila para comprar el panetón de la panadería famosa. ¿Vale la pena?",Centro,2025-12-14T21:32:52Z
"LIBRE perdió, la esperanza también un poco",Zona Sur,2025-12-11T04:47:59Z
"La calle está tensa, se siente en el aire",Obrajes,2025-12-25T19:28:12Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Mallasa,2025-12-14T02:18:26Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",El Alto (Ceja),2025-12-15T06:09:51Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",Villa Fátima,2025-12-21T21:56:11Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",Calacoto,2025-12-22T20:24:15Z
"La lluvia de la tarde arruinó mi paseo por la Illampu. ¡Caos total!",Achumani,2025-12-15T03:06:28Z
"Dos horas en la fila para comprar el panetón de la panadería famosa. ¿Vale la pena?",San Pedro,2025-12-25T10:10:35Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Centro,2025-12-23T02:16:06Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Obrajes,2025-12-14T23:25:02Z
"LIBRE perdió, la esperanza también un poco",Obrajes,2025-12-21T14:09:55Z
"La gente bloqueando otra vez, qué novedad",Achumani,2025-12-16T03:38:10Z
"Yo confiaba en LIBRE, ahora todo me da miedo",El Alto (Ceja),2025-12-19T18:08:38Z
"Los precios del panetón están por las nubes, ¡es especulación pura!",El Alto (Ceja),2025-12-10T09:42:49Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",San Miguel,2025-12-23T01:14:31Z
"El costo del pasaje para ir a ver a la familia subió otra vez. ¡Navidad de lujo!",Villa Fátima,2025-12-20T19:51:39Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",Calacoto,2025-12-19T04:53:26Z
"¿Alguien más siente vacío después de las elecciones o solo yo?",Obrajes,2025-12-13T15:04:38Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",El Alto (Ceja),2025-12-23T21:36:07Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",Obrajes,2025-12-16T17:47:21Z
"Qué caos, qué ansiedad, qué país",Miraflores,2025-12-10T22:27:00Z
"Solo quiero que pase el 24 para volver a la calma. Demasiada gente en la calle.",El Alto (Ceja),2025-12-17T11:34:08Z
"Fui a la feria y los juguetes importados duplicaron su precio. ¿Cómo le explico a mi hijo?",Centro,2025-12-22T04:06:45Z
"No dormí anoche, me preocupa el país con PDC",Miraflores,2025-12-12T09:30:32Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",El Alto (Ceja),2025-12-17T11:48:36Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",Villa Fátima,2025-12-20T00:30:24Z
"La gente peleando por política y yo solo quiero dormir",Miraflores,2025-12-20T10:40:46Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",Mallasa,2025-12-25T11:45:30Z
"No dormí anoche, me preocupa el país con PDC",Calacoto,2025-12-14T08:02:54Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Achumani,2025-12-23T14:43:33Z
"PDC ganó, sí, pero ¿a qué costo emocional?",Sopocachi,2025-12-13T03:18:40Z
"Qué caos, qué ansiedad, qué país",El Alto (Ceja),2025-12-21T22:15:11Z
"La gente peleando por política y yo solo quiero dormir",Obrajes,2025-12-20T11:47:05Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",San Pedro,2025-12-17T22:15:26Z
"Me preocupa no tener estabilidad laboral con este gobierno nuevo",Zona Sur,2025-12-25T07:18:37Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",San Pedro,2025-12-18T12:17:41Z
"La canasta navideña de este año va a ser solo de aire, ¡qué caro está todo!",Centro,2025-12-23T01:16:06Z
"Ganó PDC y mi mamá ya está comprando víveres como si fuera guerra",Mallasa,2025-12-16T04:38:49Z
"PDC ganó, sí, pero ¿a qué costo emocional?",Calacoto,2025-12-10T19:32:46Z
"Qué cansancio mental, solo veo discusiones y odio",Mallasa,2025-12-20T09:13:33Z
"¿Alguien más siente vacío después de las elecciones o solo yo?",Zona Sur,2025-12-17T18:40:33Z
"Solo quiero que pase el 24 para volver a la calma. Demasiada gente en la calle.",Sopocachi,2025-12-20T22:51:20Z
"Hay que comprar todo antes de que suba más. ¡Es una carrera contra la inflación!",Calacoto,2025-12-13T22:08:34Z
"PDC ganó, sí, pero ¿a qué costo emocional?",Zona Sur,2025-12-22T22:37:19Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",Villa Fátima,2025-12-20T21:00:07Z
"¿Alguien más siente vacío después de las elecciones o solo yo?",Centro,2025-12-20T21:17:42Z
"Ya me robaron el celular en la 16 de Julio. ¡Cuidado con la seguridad en estas fechas!",Sopocachi,2025-12-23T23:48:03Z
"Los precios del panetón están por las nubes, ¡es especulación pura!",Villa Fátima,2025-12-25T15:08:10Z
"La gente peleando por política y yo solo quiero dormir",Calacoto,2025-12-11T08:15:50Z
"El tráfico en el centro es insoportable, ¡la gente está loca por las compras!",Achumani,2025-12-21T09:47:17Z
"La gente peleando por política y yo solo quiero dormir",Achumani,2025-12-19T05:56:17Z
"La gente peleando por política y yo solo quiero dormir",Calacoto,2025-12-18T07:24:28Z
"No he terminado de envolver ni un regalo. ¡El estrés navideño me está matando!",San Pedro,2025-12-21T23:06:43Z
